                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5676,                 1.2555,                 1.2805,                0.89304,                0.86926,                0.91541,                0.56059,                 1.3312,                0.69646,                 1.1345,              0.0033293,              0.0033293,              0.0033293
                      2,                 1.3486,                0.77326,                 1.1527,                0.88324,                0.87809,                0.92109,                 0.5615,                  1.324,                 0.7135,                 1.1688,              0.0065967,              0.0065967,              0.0065967
                      3,                 1.3732,                0.79935,                 1.1869,                0.86304,                0.87481,                0.90453,                0.55055,                 1.3368,                0.74063,                  1.219,              0.0097981,              0.0097981,              0.0097981
                      4,                 1.3489,                0.77821,                  1.193,                0.88595,                 0.8873,                 0.9249,                 0.5803,                 1.2584,                0.70178,                 1.2125,               0.009703,               0.009703,               0.009703
                      5,                 1.3029,                0.73122,                 1.1771,                0.89801,                0.90694,                0.93918,                0.60443,                 1.2452,                0.64235,                 1.1996,               0.009604,               0.009604,               0.009604
                      6,                 1.2737,                0.69841,                 1.1633,                 0.8939,                0.91114,                0.94098,                0.60769,                 1.2196,                0.64711,                 1.1965,               0.009505,               0.009505,               0.009505
                      7,                   1.25,                0.67792,                 1.1557,                0.89421,                0.92526,                0.94546,                0.62631,                 1.1896,                0.60723,                 1.1807,               0.009406,               0.009406,               0.009406
                      8,                 1.2344,                 0.6607,                 1.1487,                0.91436,                 0.9284,                0.95801,                0.63874,                 1.1608,                0.59174,                 1.1646,               0.009307,               0.009307,               0.009307
                      9,                 1.2163,                0.64486,                 1.1432,                0.91598,                0.92777,                0.95369,                0.64514,                  1.162,                0.57122,                  1.167,               0.009208,               0.009208,               0.009208
                     10,                  1.207,                0.63473,                 1.1399,                0.91219,                0.93254,                0.95759,                0.65378,                 1.1461,                0.56592,                 1.1603,               0.009109,               0.009109,               0.009109
                     11,                 1.1918,                0.62241,                 1.1343,                0.92108,                0.94172,                0.96165,                 0.6564,                 1.1409,                0.55367,                 1.1558,                0.00901,                0.00901,                0.00901
                     12,                 1.1843,                0.61364,                 1.1323,                0.91675,                0.94967,                0.96449,                0.65547,                 1.1473,                0.54291,                 1.1617,               0.008911,               0.008911,               0.008911
                     13,                 1.1747,                0.60316,                 1.1322,                0.92814,                 0.9459,                0.96471,                0.66645,                 1.1322,                0.52805,                 1.1511,               0.008812,               0.008812,               0.008812
                     14,                 1.1708,                0.59909,                 1.1281,                0.92917,                0.94565,                0.96767,                0.66846,                 1.1264,                0.52424,                  1.149,               0.008713,               0.008713,               0.008713
                     15,                 1.1646,                0.59359,                 1.1251,                0.93105,                0.94861,                0.96946,                0.67148,                 1.1135,                0.51306,                 1.1339,               0.008614,               0.008614,               0.008614
                     16,                 1.1541,                0.58366,                 1.1195,                0.92366,                0.94427,                0.96707,                0.67275,                 1.1039,                0.51042,                   1.13,               0.008515,               0.008515,               0.008515
                     17,                 1.1495,                0.58084,                 1.1177,                0.93011,                0.94785,                0.96999,                0.67804,                  1.099,                0.50586,                 1.1313,               0.008416,               0.008416,               0.008416
                     18,                 1.1451,                0.57521,                  1.113,                0.93351,                0.94934,                0.97144,                0.68192,                 1.0974,                0.50138,                 1.1289,               0.008317,               0.008317,               0.008317
